event_logo_url,event_name,event_start_date,event_end_date,event_venue,event_country,event_description,event_url
http://expo.overseaseducation.sg/v.fastcdn.co/u/0e18fcd3/57786581-0-Untitled-.png,World University Expo @ SUNTEC,2024-07-06,2024-07-06,SUNTEC Convention Centre,,"Join our World University Expo this Saturday, 6 July 2024 12-6.30pm at SUNTEC whereby you can meet staff members of 50+ Renown Unis & Pathways from UK, Australia, Switzerland, USA & NZ etc. (Many travel from overseas for this event). Fantastic One-Stop Event for you to get all your queries answered and get an in-depth understanding of many Renowned Unis & Pathways.",http://expo.overseaseducation.sg/
https://ahiceconference.com/southeastasia/wp-content/uploads/sites/2/2024/05/AHICE-SEA-Logo.jpg,AHICE South East Asia,2025-02-25,2025-02-26,Pan Pacific Singapore,,"The Asian Hotel Industry Conference & Exhibition (AHICE) hosted by HM Magazine made its South East Asia debut in February 2024 on Tuesday 27, Wednesday 28 and Thursday 29 in Singapore. The event was attended by over 500 South East Asia’s leading hotel owners, operators, consultants and suppliers. The 2024 program included evocative, educational and insightful keynote speakers, Q&As and panel sessions featuring more than 50 key speakers from across South East Asia and globally. The launch of AHICE in South East Asia follows the success of the recent Asia Pacific Hotel Industry Conference and Exhibition held in Adelaide, South Australia during May 2023 and attended by a record 1,500 delegates, making it the largest accommodation event in Asia Pacific region. AHICE South East Asia will return to Singapore on 25 – 26 February 2025 at the Pan Pacific Singapore. Stay up to date on all things AHICE [here.](https://ahiceconference.com/southeastasia/subscribe/)",https://ahiceconference.com/southeastasia/
https://apac.commoditytradingweek.com/wp-content/uploads/2024/02/cropped-ctw-apac-main-2.png,Commodity Trading Week APAC,2025-02-25,2025-02-26,Marina Bay Sands,,Commodity Trading Week APAC is the premier event in the Asia Pacific region for the commodity industry. It offers a platform for professionals across all sectors of commodity trading to network and gain insights.,https://apac.commoditytradingweek.com/
https://architecturebuildingservices.com.sg/wp-content/uploads/2022/02/ABS-2024_Logo_withtagline_clear.png,Architecture & Building Services (ABS) 2024,2024-11-13,2024-11-15,Marina Bay Sands Expo & Convention Centre Singapore,,The 10th Architecture & Building Services (ABS) 2024 is a trade exposition for the built environment industry in Singapore and ASEAN countries.,https://architecturebuildingservices.com.sg/
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-asian-downstream-summit.png,Asian Downstream Summit,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,"The Asian Downstream Summit is Asia’s most influential downstream oil and gas event. It brings together senior industry leaders and decision-makers from across the downstream value chain to discuss the industry's challenges and solutions. The event focuses on advancing sustainable energy solutions in Asian petrochemicals and refining industries. Co-located with the Asian Refining Technology Conference (ARTC) and the Ammonia & Carbon Capture Asia (ACCA) conference. The event includes conferences, an expo, and networking opportunities.",https://asiandownstreaminsights.com/events/asian-downstream-summit/
https://asiandownstreaminsights.com/wp-content/uploads/2020/11/logo-artc-resized.png,Asian Refining Technology Conference,2024-10-23,2024-10-24,"Sands Expo & Convention Centre, Singapore",,Advancing Sustainable Energy Solutions in Asian Petrochemicals and Refining Industries,https://asiandownstreaminsights.com/events/asian-refining-technology-conference/
https://beautyasia.com.sg/wp-content/uploads/2022/11/BA2022.jpg,BeautyAsia,2025-02-17,2025-02-19,Marina Bay Sands,,Asia’s most established beauty and wellness networking platform,https://beautyasia.com.sg/show-info/
https://blockchainfestival.asia/img/fs__ticket-body.svg,Blockchain Festival Asia 2025,2025-03-08,2025-03-08,Marina Bay Sands Convention Centre,Singapore,Blockchain Festival Singapore (SG) stands as a main innovative event...,https://blockchainfestival.asia/
https://digimarconapac.com/wp-content/uploads/2020/03/DigiMarCon-APAC-2020-Logo-v2.png,DigiMarCon Asia Pacific 2024-Digital Marketing Conference & Exhibition,2024-09-19,2024-09-20,Marina Bay Sands Expo and Convention Centre,Australia,"DigiMarCon Asia Pacific 2024 is a premier digital marketing, media, and advertising event.",https://digimarconapac.com/
https://exito-e.com/wp-content/uploads/2022/11/Cyber-Security-Summit-Logo.png,Cyber Security Summit Singapore,2025-02-01,2025-02-01,Singapore,Singapore,A Strategic Agenda for Securing Singapore's Cyberspace,https://exito-e.com/cybersecuritysummit/singapore/
https://foodnhotelasia.com/wp-content/uploads/2024/05/FHFB25_Homepage_Logo.png,FHA-Food & Beverage,2025-04-08,2025-04-11,,,"FHA-Food & Beverage is an annual event held every April. It focuses on the dynamic food and beverage sector, bringing together a diverse array of global suppliers and key buyers from Asia and beyond. This event is a hub for exploring the latest trends, innovations, and high-quality products in the F&B industry.",https://foodnhotelasia.com/
https://gynecology.magnusconferences.com/uploads/logo/2nd-edition-of-global-conference-on-gynecology-womens-health-6207.png,2nd Edition of Global Conference on Gynecology & Women's Health,2024-10-17,2024-10-19,Best Western Plus Hotel & Conference Center,"Maryland, USA","The upcoming scientific gathering, ""2nd Edition of Global Conference on Gynecology and Women’s Health"" (Gynec 2024), organized by Magnus Group, is set to be a significant event. This Hybrid Event is scheduled to take place during October 17-19, 2024, in Baltimore, Maryland, USA, and virtually.",https://gynecology.magnusconferences.com/
https://ieee-cas.org/files/ieeecass/cass-75_horizontal-color.svg,2024 IEEE International Conference on Multimedia and Expo,2024-07-15,2024-07-19,"Niagra Falls, Canada",,The IEEE International Conference on Multimedia and Expo for researchers in the field of multimedia.,https://ieee-cas.org/event/conference/2024-ieee-international-symposium-circuits-and-systems
https://ieee-cas.org/files/ieeecass/cass-75_horizontal-color.svg,2024 IEEE International Conference on Multimedia and Expo,2024-07-15,2024-07-19,"Niagra Falls, Canada",,The IEEE International Conference on Multimedia and Expo is a premier forum for resear...,https://ieee-cas.org/event/symposium/2024-ieee-international-symposium-circuits-and-systems
https://imapac.com/wp-content/uploads/elementor/thumbs/blwa-2025-qlpkss0huve4b6aok2exhf54mzvk2ul363p4plmv40.png,9th BioLogistics World Asia 2025,2025-03-12,2025-03-13,"Marina Bay Sands Expo & Convention Centre, Singapore",Singapore,The 9th BioLogistics World Asia 2025 is a one-of-a-kind symposium...,https://imapac.com/events/biologistics-world-asia/
https://ispe.org/themes/custom/ispe/logo.svg,ISPE Singapore Conference & Exhibition 2024,2024-08-28,2024-08-30,Suntec Singapore,,One of the largest and most respected pharmaceutical manufacturing shows in Singapore for pharmaceutical and biomanufacturing professionals. The event highlights best practices and services from manufacturing facility design to finished product.,https://ispe.org/singapore-affiliate/events/ispe-singapore-conference-exhibition-2024
https://mygfsi.com/wp-content/themes/consumer_goods_forum/assets/imgs/cgf-logo.svg,GFSI Conference,2025-03-31,2025-04-03,,,The annual rendezvous for everyone involved in advancing food safety and consumer trust worldwide.,https://mygfsi.com/events/gfsi-conference/
https://oishii-world.com/wp-content/themes/foodjapan/static/img/logo2024.jpg,Food Japan 2024,2024-10-24,2024-10-26,Suntec Singapore,,"ASEAN Exhibition of Oishii Japanese F&B, Technology, and Services",https://oishii-world.com/en/
https://qs.topuniversities.com/hubfs/raw_assets/public/QS%20Parent%20Theme/assets/qs_logo.svg,MBA and Master's Fair in Singapore,2024-08-17,2024-08-17,Carlton Hotel Singapore,,"Join Singapore's Premium Business School Tour, 17 August 2024: Discover World-Leading Business Schools!",https://qs.topuniversities.com/events/asia/singapore
https://scholarsconferences.com/includes/img/logo.png,International Conference and Exhibition on Pharmaceutics and Drug Delivery Systems,2024-09-23,2024-09-24,Singapore,,"""Enlightening the recent advances in Drug Delivery Research and Nanomedicine""",https://scholarsconferences.com/pharmaceutics-drugdelivery-research/
https://singaporefoodshows.com.sg/content/experience-fragments/singaporefoodshows/sg/en/site/header/master/_jcr_content/root/container/container_1082110446/container/image.coreimg.png/1716973741656/sfs-logo.png,World Food Fair,2024-07-04,2024-07-07,Singapore Expo Hall 4,,The annual World Food Fair is back for its 19th edition. One of the,https://singaporefoodshows.com.sg/world-food-fair/
https://singaporefoodshows.com.sg/content/experience-fragments/singaporefoodshows/sg/en/site/header/master/_jcr_content/root/container/container_1082110446/container/image.coreimg.png/1716973741656/sfs-logo.png,Yummy Food Expo 2024,2024-08-29,2024-09-01,Singapore Expo,,A 4-day annual F&B consumer event showcasing food delectables,https://singaporefoodshows.com.sg/yummy-food-expo/
https://themartechsummit.com/wp-content/uploads/2021/09/BEETc-Logo-min.png,The MarTech Summit Asia,2025-04-08,2025-04-09,Singapore,,"MarTech Revitalisation: Assemble, Synergise, Impact, Advance",https://themartechsummit.com/singapore/
https://tradersfair.com/img/logo_23.svg,Traders Fair Singapore,2025-03-08,,"Marina Bay Sands Singapore, expo and convention centre",Singapore,"Traders Fair offers a dynamic and engaging series of educational and networking events that traverse Asia and beyond, providing invaluable opportunities for learning and professional connections on a global scale.",https://tradersfair.com/singapore/
https://www.apidays.global/wp-content/uploads/2024/01/apidays-2024_logo-min.png,Apidays Singapore,2025-04-01,2025-04-01,The Arts House at The Old Parliament,,"Connecting Customers, Business and Technology",https://www.apidays.global/singapore/
https://www.artsg.com/wp-content/uploads/2022/11/ARTSG_Logo_2023.png,ART SG,2025-01-17,2025-01-19,Marina Bay Sands,,Third edition of ART SG featuring leading international galleries,https://www.artsg.com/
https://www.asiabusinessshow.com/cdn.asp.events/CLIENT_Business_DCF4FF16_FAB8_0D4B_807D8955A223D6D8/sites/TBSS-2023/media/TBS-Third-Logo-Asia-Dark.png,The Business Show Asia,2024-08-28,2024-08-29,Sands Expo & Convention Centre,,"Asia's Leading Event for Entrepreneurs, Business Owners and Startups",https://www.asiabusinessshow.com/
https://www.asiainsurancereview.com/Portals/0/air.svg,11th Middle East Insurance Industry Awards 2024,2024-11-21,2024-11-21,Dubai,United Arab Emirates,"Theme: ""Unlocking China’s Potential, Resilience and Power in the World’s Insurance Landscape""",https://www.asiainsurancereview.com/Events/Home/Asia/lifesummit2024
https://www.bex-asia.com/content/dam/sitebuilder/rxsg/bexasia/2024/new-bex-logo-transparent.png,BEX Asia,2024-09-04,2024-09-06,Marina Bay Sands,,The Built Environment Expo in Southeast Asia,https://www.bex-asia.com/
https://www.bigdataworldasia.com/images/logo.png,Big Data & AI World Asia,2024-10-09,2024-10-10,"Marina Bay Sands Expo & Convention Centre, Singapore",,Premier event exploring the intersection of Big Data and AI,https://www.bigdataworldasia.com/
https://www.cleantech.com/wp-content/uploads/2023/03/CTF-Asia-2023-Logo.png,Cleantech Forum Asia,2025-05-06,2025-05-07,Sheraton Towers Singapore,,Cleantech Forum Asia connects professionals in the sustainable,https://www.cleantech.com/event/cleantech-forum-asia/
https://www.cloudexpoasia.com/images/logo.png,Cloud Expo Asia Singapore 2024,2024-10-09,2024-10-10,Marina Bay Sands,,Cloud Expo Asia is a leading technology event for enterprise solutions,https://www.cloudexpoasia.com/
https://www.sgpetfestival.com/wp-content/uploads/2024/01/logo-white-sgpetfestival.png,SG Pet Festival 2024,2024-08-02,2024-08-04,"Marina Bay Sands Singapore Convention Centre, Level 1, Hall A, B & C",,Step into the enchanting world of furry friends at the SG Pet Festival,https://www.clubpets.com.sg/sg-pet-festival/
https://www.constellar.co/content/experience-fragments/constellar/sg/en/site/header/master/_jcr_content/root/container/image.coreimg.png/1677301200530/constellar-logo.png,Process Innovation Asia-Pacific,2024-11-19,2024-11-21,"Canton Fair Complex, Guangzhou",,,https://www.constellar.co/
https://www.cybersecurityworldasia.com/cdn.asp.events/CLIENT_CloserSt_D86EA381_5056_B739_5482D50A1A831DDD/sites/CSWA-2023/media/branding/CSWA-White-wo-Dates.png,Cyber Security World Asia,2024-10-09,2024-10-10,Marina Bay Sands,,"PAVING THE WAY FOR THE FUTURE OF CYBERSECURITY. Cyber Security World Asia will return on 9-10th October 2024 at Marina Bay Sands, Singapore. With thousands of professionals, business leaders, and cybersecurity enthusiasts in attendance, the award-winning event offers a unique opportunity for networking and knowledge exchange. This expansive platform of professionals, thought leaders, and pioneering solution providers offers boundless opportunities to create partnerships, collaborate with peers, and future-proof your business. BE A PART OF THE COMMUNITY! Kicking-off our Call-for-Papers Campaign. Industry Thought Leaders, Join Us for this Edition!",https://www.cybersecurityworldasia.com/
https://www.designfairasia.com/wp-content/uploads/2024/04/find-logo.png,FIND-Design Fair Asia,2024-09-26,2024-09-28,"Level B2, Marina Bay Sands",,"Join Asia’s Leading Furniture, Interiors And Design Event.",https://www.designfairasia.com/
https://www.digitalmarketing-conference.com/asia/wp-content/uploads/sites/3/2023/01/DMWF-Asia-2024-Logo.png,#DMWF Asia,2025-02-26,2025-02-27,Marina Bay Sands,,Exploring the Future of Digital Marketing Technologies,https://www.digitalmarketing-conference.com/asia/
https://www.ecommerceexpoasia.com/images/logo.png,eCommerce Expo Asia,2024-10-09,2024-10-10,Marina Bay Sands Expo & Convention Centre,,"eCommerce Expo Asia provides a platform for businesses to discover cutting-edge solutions, forge meaningful connections, and gain valuable insights to thrive in the ever-evolving ecommerce ecosystem.",https://www.ecommerceexpoasia.com/
https://www.geoconnectasia.com/templates/geoconnectasia2024/images/2025_GCA__Lockup 3-Full Colour_GCA Lockup 3-Full Colour.svg,Geo Connect Asia,2025-04-09,2025-04-10,Sands Expo & Convention Centre,,Delivering sustainable solutions for the built environment,https://www.geoconnectasia.com/digital-construction-asia
https://www.industrial-transformation.com/adobe/dynamicmedia/deliver/dm-aid--6ae1b614-f9f2-48e3-b5c6-66c4713b15cc/group-18365-2x.png?preferwebp=true&quality=85,Industrial Transformation ASIA-PACIFIC 2024,2024-10-14,2024-10-16,Singapore EXPO,Singapore,"Constellar convenes businesses, curates ideas and creates opportunities for sustainable business growth.",https://www.industrial-transformation.com/
https://www.issworldtraining.com/images/Banner8.gif,ISS World Asia,2024-09-03,2024-09-05,,,"ISS World Asia is the world's largest gathering of Regional Law Enforcement, Intelligence and Homeland Security Analysts, Telecoms as well as Financial Crime Investigators responsible for Cyber Crime Investigation, Electronic Surveillance and Intelligence Gathering. ISS World Programs present the methodologies and tools for Law Enforcement, Public Safety, Government and Private Sector Intelligence Communities in the fight against drug trafficking, cyber money laundering, human trafficking, terrorism and other criminal activities conducted over today's telecommunications network, the Internet and Social Media.",https://www.issworldtraining.com/ISS_AP/
https://www.itb-asia.com/resources/ck/images/logo.png,ITB Asia,2024-10-23,2024-10-25,Marina Bay Sands,Singapore,Asia's leading travel trade show,https://www.itb-asia.com/
https://www.medicalfair-asia.com/img/logo.jpg,MEDICAL FAIR ASIA,2024-09-11,2024-09-13,Marina Bay Sands,,"15th International Exhibition on Hospital, Diagnostic, Pharmaceutical, Medical & Rehabilitation Equipment & Supplies",https://www.medicalfair-asia.com/
https://www.meinsurancereview.com/Portals/0/meir.svg,11th Middle East Insurance Industry Awards 2024,2024-11-21,2024-11-21,Dubai,United Arab Emirates,"Theme: ""Unlocking China’s Potential, Resilience and Power in the World’s Insurance Landscape""",https://www.meinsurancereview.com/Events/Home/Asia/cfo2024
https://www.osea-asia.com/wp-content/uploads/2021/11/OSEA-Offshore-Energy-Week-Logo_CMYK_OSEA_White-1024x523.png,OSEA 2024,2024-11-19,2024-11-21,Marina Bay Sands,,Integrating Offshore Energy Transition with Market Opportunities,https://www.osea-asia.com/
https://www.seafoodexpo.com/divcomevents3-static.s3.amazonaws.com/uploads/sites/24/2022/06/seafoodexpo_asia__horiz_4c.svg,Seafood Expo Asia,2024-09-04,2024-09-06,Sands Expo and Convention Centre,,"Seafood Expo Asia is a trade event where buyers and suppliers of seafood from around the world come together to network and conduct business in the lucrative Asia markets. The next event will be held in Singapore from September 4-6, 2024.",https://www.seafoodexpo.com/asia/
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/contact-us
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/getting-here
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/explore-singapore-expo/go-green
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2025-01-25,2025-01-27,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2024-12-05,2024-12-07,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2025-01-25,2025-01-27,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#1
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-12,2024-09-14,Singapore EXPO,,Exhibition focusing on intralogistics and supply chain management solutions,https://www.singaporeexpo.com.sg/sg/organise-an-event/venue-spaces
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-12,2024-09-14,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, material handling, and logistics",https://www.singaporeexpo.com.sg/sg/organise-an-event/virtual-tour
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,AFA Creators Super Fest 2024,2024-07-27,2024-07-28,Hall 3,Singapore,"Creators Super Fest is an innovative and engaging community event showcasing creative talents in Anime, Cosplay, Crafters & Music.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/AFA-Creators-Super-Fest-2024
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Sake Meguri 2024,2024-07-27,,Peridot 201-202,,"Sake Meguri, presented by Sake.sg, is gearing up for its second annual celebration, promising a captivating experience for both sake enthusiasts and newcomers.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/Sake-Meguri-2024
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,The Big Furniture Fair 2024,2024-11-15,2024-11-17,Singapore EXPO,Singapore,Discover the latest trends and designs in furniture at this grand fair.,https://www.singaporeexpo.com.sg/sg/what-s-on/play-expo
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/events-expo
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/feast-expo
https://www.sitce.org/eu-admin.eventscloud.com/file_uploads/4e181761f608468d227ddbef2a878cef_NewLogo1.png,LTA-UITP Singapore International Transport Congress & Exhibition 2024,2024-11-06,2024-11-08,Suntec Singapore Exhibition and Convention Centre,,"The leading public transport event in the Asia Pacific region themed ""Smarter Journeys for Sustainable Cities"".",https://www.sitce.org/website/7302/
https://www.space.org.sg/gstc/wp-content/uploads/2020/07/GSTC-logo.png,Global Space and Technology Convention 2025,2025-02-27,2025-02-28,Singapore,,"The 17th edition GSTC 2025, is the go-to platform for your space and satellite business to connect with the burgeoning space industry in Asia. Join us as we explore the future world of space technology and unlock new possibilities.",https://www.space.org.sg/gstc/
https://www.terrapinn.com/logos/E10817.gif,Submarine Networks World 2024,2024-09-25,2024-09-26,Suntec Convention Centre,,The premier submarine communications event,https://www.terrapinn.com/conference/submarine-networks-world/index.stm
https://www.terrapinn.com/logos/E10825.gif,Accounting & Business Show Asia 2024,2024-10-16,2024-10-17,"Sands Expo & Convention Centre, Singapore",,"Asia’s leading tech & strategy event for accountants, finance leaders and business owners",https://www.terrapinn.com/exhibition/accounting-finance-show-asia/index.stm
https://www.terrapinn.com/exhibition/aviation-festival-asia/img/AFAlogo150.png,Aviation Festival Asia 2025,2025-02-18,2025-02-19,"The Suntec Centre, Singapore",,Business models. Technology. Sustainability. Innovation. For Asia’s aviation Industry.,https://www.terrapinn.com/exhibition/aviation-festival-asia/index.stm
https://www.terrapinn.com/logos/E10855.gif,EDUtech_Asia 2024,2024-11-05,2024-11-07,"Sands Expo & Convention Centre, Singapore",,Asia’s largest conference and exhibition for educators and EdTech providers,https://www.terrapinn.com/exhibition/edutech-asia/index.stm
https://www.terrapinn.com/logos/E10871.gif,Seamless Asia 2025,2025-02-26,2025-02-27,"Suntec Convention & Exhibition Centre, Singapore",,"THE FUTURE OF PAYMENTS, BANKING & E-COMMERCE IN ASIA",https://www.terrapinn.com/exhibition/seamless/
https://www.themeetingsshow-apac.com/cdn.asp.events/CLIENT_Northsta_5B1737B2_5056_B733_83AD112B2FDD2BEF/sites/tms-asia-pacific-2024/media/00.-TMS-APAC-LOGO/TMS_APC_LOGO_RGB_LIGHT_BG.png,The Meetings Show Asia Pacific,2025-04-16,2025-04-17,Marina Bay Sands,Singapore,"The Meetings Show Asia Pacific is a global event featuring destinations, venues, hotels, and other key suppliers. It includes a hosted buyer program, prescheduled meetings, an education program, and networking events.",https://www.themeetingsshow-apac.com/
https://www.tocevents-asia.com/content/dam/markets/mart/toc-asia/MTM22TAS-RR-TOC-Asia-logo-RGB.png,TOC Asia,2024-11-26,2024-11-27,Marina Bay Sands,,Connecting the Port & Terminal Industry Across the APAC Region,https://www.tocevents-asia.com/en/home.html
https://www.utechseasia.com/images/UT-SEA-2024-1920x300-website-header.jpg,UTECH Southeast Asia,2024-11-13,2024-11-14,Marina Bay Sands,,Premier event in South East Asia dedicated to technical foam and polyurethanes,https://www.utechseasia.com/
https://www.worldchefscongress.org/img/congress-logo-2024.png,Worldchefs Congress & Expo 2024,2024-10-20,2024-10-25,Singapore,,The biennial event for industry leaders and culinary innovators,https://www.worldchefscongress.org/
https://zaksalaamindia.com/images/logo1.png,ZAK Salaam India Expo,2024-07-11,2024-07-14,Singapore Expo,,"ZAK Salaam India Expo is a salute to the ""Spirit of India"". The Expo is an exclusive ""Source from India"" of Indian products & companies from multiple industry sectors, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd. ZAK Salaam India Expo has completed 35 editions as on date, with over 200 exhibitors, and attracts over 20,000 visitors. It is a 4-day exhibition, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd., with exhibitors from India, Singapore, the Middle East, South Asia (Sri Lanka & Pakistan), East Asia and more.",https://zaksalaamindia.com/
http://www.icscm.org/images/logo.png,6th International Conference on Supply Chain Management (ICSCM2025),2025-02-21,2025-02-23,Hosei University,Japan,International platform for presenting and publishing scientific research outcomes related to Supply Chain Management,http://www.icscm.org/index.html
